startup_id,name,founded_year,industry,description,country,source,article_url,published_at
07734a53bf8d1bc1cf7bd1394f6b32b7f14edf86,Amazon may launch a,,,A new report claims the e-commerce giant is looking to create a pipeline of licensable content between media publishers and AI companies.,,TechCrunch,https://techcrunch.com/2026/02/10/amazon-may-launch-a-marketplace-where-media-sites-can-sell-their-content-to-ai-companies/,2026-02-10T23:16:28+00:00
5c3a366e19eba64fb23d85978fb95081eea3f7f2,An ice dance duo,,,Czech ice dancers Katerina Mrazkova and Daniel Mrazek are learning the hard way that LLMs sometimes spit out straight-up plagiarism.,,TechCrunch,https://techcrunch.com/2026/02/10/olympics-czech-ice-dancers-duo-ai-music/,2026-02-10T22:31:13+00:00
3f03220802780cc8ed6b1dae5b4555364b046691,Boston Dynamics CEO Robert,,,"Robert Playter announcd he is leaving Boston Dynamics after 30 years at the company in various roles, including six years as CEO.",,TechCrunch,https://techcrunch.com/2026/02/10/boston-dynamics-ceo-robert-playter-steps-down-after-30-years-at-the-company/,2026-02-10T21:20:10+00:00
1d1172bbac221b871663c4d5165808b94954103c,"VC Masha Bucher, Epstein",,,"After numerous news reports documented Masha Bucher's close business and personal relationship with convicted sex offender Jeffrey Epstein, Bucher took to X to explain.",,TechCrunch,https://techcrunch.com/2026/02/10/vc-masha-bucher-epstein-associate-and-day-one-founder-explains-herself/,2026-02-10T21:07:44+00:00
14dcb5fa291d25ffb015647de3e2c8eae57e5adc,Google sent personal and,,,The tech giant handed over the personal information of a journalist and student who attended a pro-Palestinian protest in 2024. This is the latest example of ICE using its controversial subpoena powers to target people critical of the Trump administration.,,TechCrunch,https://techcrunch.com/2026/02/10/google-sent-personal-and-financial-information-of-student-journalist-to-ice/,2026-02-10T20:41:21+00:00
dea26675d1f5dc09fbd5aa116330c57f2519979a,Here's how Rivian changed,,,"Rivian, along with other automakers, has been under pressure to make the manual door releases easier to access. The new R2 SUV does that — here's how.",,TechCrunch,https://techcrunch.com/2026/02/10/heres-how-rivian-changed-the-rear-door-manual-release-on-the-r2/,2026-02-10T19:38:54+00:00
eeb98f525e096ab4585e4e90538ef72e6fba176e,Facebook adds new AI,,,"Facebook's new AI features let users animate their profile pics, restyle their Stories and Memories, and add backgrounds to text posts.",,TechCrunch,https://techcrunch.com/2026/02/10/facebook-adds-new-ai-features-animated-profile-photos-and-backgrounds-for-text-posts/,2026-02-10T19:34:51+00:00
673265b6c2ce42290f1e36e45959bba283053ceb,Former Tesla product manager,,,"The startup claims that it has developed a ""hack-proof"" chip that can't be bypassed by devices like Flipper Zero, a widely available hacking tool that can be used to tamper with wireless systems. These chips are linked with digital certificates to verify the authenticity of the products.",,TechCrunch,https://techcrunch.com/2026/02/10/former-tesla-product-manager-wants-to-make-luxury-goods-impossible-to-fake-starting-with-a-chip/,2026-02-10T16:30:00+00:00
39c969e876d94f7a517924be0be8d6cb1fc78166,Singapore says China-backed hackers,,,"The Singaporean government said the China-backed hackers gained ""limited access to critical systems"" run by the country's top four telecommunication giants, but said they did not disrupt services or steal customers' data.",,TechCrunch,https://techcrunch.com/2026/02/10/singapore-china-backed-hackers-targeted-largest-phone-companies-salt-typhoon/,2026-02-10T16:19:39+00:00
cfb9dd7a7f29d60faa5dc6eac9b08dfe0cac0df2,Vega,,,"Vega Security raised $120 million, bringing its valuation to $700 million, in a round led by Accel. The company aims to rethink how enterprises detect cybersecurity threats.",,TechCrunch,https://techcrunch.com/2026/02/10/vega-raises-120m-series-b-to-rethink-how-enterprises-detect-cyber-threats/,2026-02-10T16:00:00+00:00
edb622d3506ad20aebb060996b16622596e85171,What to know about,,,"Learn more about Netflix's acquisition of Warner Bros., considered the most historic megadeal in Hollywood, as it continues to develop.",,TechCrunch,https://techcrunch.com/2026/02/10/what-to-know-about-netflixs-landmark-acquisition-of-warner-bros/,2026-02-10T15:56:21+00:00
ee7399563c177a18af319a98ecacf30f186c0c10,Google expands tools to,,,Users will be able to more easily request the removal of results that include private information or non-consensual explicit imagery.,,TechCrunch,https://techcrunch.com/2026/02/10/google-remove-sensitive-personal-data-from-search/,2026-02-10T15:54:48+00:00
59d71ea53b324f868c9f3b40215a7257de43262c,Trump EPA reportedly seeks,,,"EPA administrator Lee Zeldin is reportedly expected to repeal the 2009 ""endangerment finding"" that underpins U.S. climate regulatory efforts.",,TechCrunch,https://techcrunch.com/2026/02/10/trump-epa-reportedly-seeks-to-revoke-landmark-air-pollution-rule/,2026-02-10T15:47:13+00:00
8f3765f620d51b2bde90d397149db3a1b57929a0,YouTubers aren’t relying on,,,"YouTubers are no longer just creators, and in some cases, their side businesses are growing faster than their channels.",,TechCrunch,https://techcrunch.com/2026/02/10/youtubers-arent-relying-on-ad-revenue-anymore-heres-how-some-are-diversifying/,2026-02-10T15:06:26+00:00
69060c167584749590dac1ee8906106c4c53a756,Hauler Hero collects $16M,,,"Hauler Hero has seen its customer base, revenue, and head count double since the company raised its seed round in 2024.",,TechCrunch,https://techcrunch.com/2026/02/10/hauler-hero-collects-16m-for-its-ai-waste-management-software/,2026-02-10T15:00:00+00:00
145ca9591fcbe08b498e37b5ed21bb110806b0a7,India orders social media,,,"India’s new rules take effect February 20, tightening deepfake oversight and shrinking takedown windows to as little as two hours.",,TechCrunch,https://techcrunch.com/2026/02/10/india-orders-social-media-platforms-to-take-down-deepfakes-faster/,2026-02-10T14:51:13+00:00
e61e5f0c759d3c33bce2e7d30ed1142e309d8bf5,Spotify hits a record,,,Spotify credited a successful Wrapped campaign and new features in its free tier for its rapid user growth.,,TechCrunch,https://techcrunch.com/2026/02/10/spotify-hits-a-record-751m-monthly-users-thanks-to-wrapped-new-free-features/,2026-02-10T14:00:14+00:00
c30a64c5a978152163a3918f6244e6ffbb4643e8,Primary Ventures,,,Primary Ventures has closed a $625 million fund focused on seed investing nationwide. It's a sizable accomplishment for a seed-stage VC firm.,,TechCrunch,https://techcrunch.com/2026/02/10/primary-ventures-raises-massive-625m-fund-v-to-focus-on-seed-investing/,2026-02-10T14:00:00+00:00
15d0544e6cb5584309b28fb70b586ae07627fff3,AI video startup Runway,,,"Startup Runway has raised a $315 million round at a $5.3 billion valuation, funds it will use to expand beyond AI video generation and into world models.",,TechCrunch,https://techcrunch.com/2026/02/10/ai-video-startup-runway-raises-315m-at-5-3b-valuation-eyes-more-capable-world-models/,2026-02-10T14:00:00+00:00
23da11eed978ac6080c0e71e2eca42f492f9c5a6,Proptech startup Smart Bricks,,,Smart Bricks is an AI-powered proptech that helps investors find high-quality real estate investments.,,TechCrunch,https://techcrunch.com/2026/02/10/proptech-startup-smart-bricks-raises-5-million-pre-seed-in-round-led-by-a16z/,2026-02-10T14:00:00+00:00
